Title,Company,experience,Estimated_salary,location,Industry_type,job_type,key_skills
Senior Analyst - Data Science,Tiger Analytics India LLP,1 - 6 years,Not Disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",IT Services & Consulting,"Full Time, Permanent",Data ScienceRArtificial IntelligenceData AnalyticsMachine LearningPython
Senior Analyst - Data Science - Iit/nit/iim/xlri/fms,Huquo Consulting Pvt. Ltd,2 - 5 years,Not Disclosed,Gurgaon/Gurugram,IT Services & Consulting,"Full Time, Permanent",Data ScienceSASTableauQlikMachine LearningStatisticsR ShinyAnalyticsPythonSQL
Data Analyst - Data Science & Analytics,TransUnion Software Services Pvt. Ltd,3 - 6 years,Not Disclosed,Chennai,IT Services & Consulting,"Full Time, Permanent",Computer scienceLogistic regressionData analysisOperations researchAnalyticalConsultingBusiness intelligenceFinancial servicesSQLData extraction
Data Science Analyst ,Continuum Global Solutions,3 - 8 years,Not Disclosed,Indore,BPO / Call Centre,"Full Time, Permanent",Data ScienceRBusiness AnalyticsBuilding Statistical ModelsComputer ScienceData ManagementMachine LearningStatistical AnalysisPythonSql
Analyst Manufacturing Data Analytics (Machine Learning & Data Science),Kennametal Inc,4 - 6 years,Not Disclosed,Bangalore/Bengaluru,Industrial Equipment / Machinery,"Full Time, Permanent",Anomaly DetectionData ScienceRAzureData WarehousingData AnalyticsMachine LearningPythonSQL
"Senior Analyst, Data Science & Analytics",TransUnion Software Services Pvt. Ltd,5 - 8 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",AnalystC++Operations researchAnalyticalConsultingRisk managementBusiness intelligenceMacrosFinancial servicesSQL
"Senior Analyst, Data Science & Analytics",TransUnion Software Services Pvt. Ltd,5 - 8 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",Operations researchAutomationLinuxAnalyticalConsultingBusiness intelligenceMacrosPortfolio managementFinancial servicesSQL
Analyst - Data Science,Nuware  Systems Pvt Ltd,3 - 6 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",Data analysisRDBMSBfsiApplication programmingMachine learningInvestment bankingData miningMacrosSQLPython
Data Science Analyst 2,Epsilon,2 - 5 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Data analysisFactor analysisdata scienceAnalyticalMachine learningRisk managementData miningBusiness caseAnalyticsMonitoring
Analyst - Data Science,Grail Insights,2 - 7 years,Not Disclosed,Noida,Management Consulting,"Full Time, Permanent",Data ScienceData VisualizationTableauStatisticsPythonSql
