Text,rating,price,ROM,Display,camera,chip
"APPLE iPhone SE (White, 64 GB)",4.5,"₹25,999",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone SE (Black, 64 GB)",4.5,"₹25,999",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone SE (Red, 64 GB)",4.5,"₹25,999",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone SE (White, 128 GB)",4.5,"₹30,999",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone SE (Black, 128 GB)",4.5,"₹30,999",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone SE (Red, 128 GB)",4.5,"₹30,999",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone 11 (Yellow, 64 GB)",4.6,"₹49,900",64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone SE (Red, 256 GB)",4.5,"₹40,999",256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone 13 (Starlight, 256 GB)",,"₹89,900",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹42,999",64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 12 (Blue, 128 GB)",4.6,"₹68,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone XR ((PRODUCT)RED, 64 GB)",4.6,"₹42,999",64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone XR (White, 128 GB)",4.6,"₹47,999",128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 12 Mini (Purple, 128 GB)",4.5,"₹61,999",128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 12 Mini (Black, 128 GB)",4.5,"₹61,999",128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 13 Mini (Midnight, 128 GB)",,"₹69,900",128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 12 Mini (Blue, 128 GB)",4.5,"₹61,999",128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 12 Mini (Red, 128 GB)",4.5,"₹61,999",128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone XR ((PRODUCT)RED, 128 GB)",4.6,"₹47,999",128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 12 Mini (Black, 64 GB)",4.5,"₹56,999",64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 11 (Red, 128 GB)",4.6,"₹54,900",128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 13 Pro (Sierra Blue, 128 GB)",,"₹1,19,900",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone XR (Blue, 128 GB)",4.6,"₹47,999",128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 12 (Green, 128 GB)",4.6,"₹68,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 12 Mini (Green, 128 GB)",4.5,"₹61,999",128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 12 Mini (White, 64 GB)",4.5,"₹56,999",64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 12 Mini (Red, 64 GB)",4.5,"₹56,999",64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone XR (Black, 128 GB)",4.6,"₹47,999",128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 13 Mini (Pink, 256 GB)",,"₹79,900",256 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 12 Mini (Blue, 256 GB)",4.5,"₹71,999",256 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
